ALS Lookup,Week 1,Week 2,Week 3,Week 4
Sample Date,14/01/2025 14:00,20/02/2025 15:15,26/03/2025 15:35,2/04/2025 13:50
ALKALINITY AS CACO3,110,110,120,130
AS,<0.001,<0.001,<0.001,<0.001
CO3 AS CACO3,<2,<2,<2,<2
COLIFORM (C),0,0,0,0
DOC,12,13,9.7,14
E COLI(C),0,0,0,0
EC,640,690,710,730
FE,<0.01,0.01,<0.01,<0.01
HCO3 AS CACO3,110,110,120,130
HG,<0.0001,<0.0001,<0.0001,<0.0001
MN,0.004,2.6,0.18,<0.001
NA,80,98,83,88
OH AS CACO3,<2,<2,<2,<2
PB,<0.001,<0.001,<0.001,<0.001
PH,8.3,8.1,8.2,8.3
PLATE COUNT 36 C,70,45,2,64
SILICA,1.9,4,5,6.1
SUS SOLIDS,<2,<2,<2,<2
TDS_180,350,330,350,330
TOC,12,13,12,14
TRUE COLOUR,20,25,8,25
TURBIDITY,<0.1,<0.1,<0.1,0.1
UV TRANS,51,50,64,49
W-CHLORIDE(DA),130,150,150,140
W-NO3-N,<0.01,<0.01,0.05,0.03
W-SO4-DA,8,11,9,9
